time[sec],EARTH_pos_i(X)[m],EARTH_pos_i(Y)[m],EARTH_pos_i(Z)[m],EARTH_vel_i(X)[m/s],EARTH_vel_i(Y)[m/s],EARTH_vel_i(Z)[m/s],SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],SUN_vel_i(X)[m/s],SUN_vel_i(Y)[m/s],SUN_vel_i(Z)[m/s],MOON_pos_i(X)[m],MOON_pos_i(Y)[m],MOON_pos_i(Z)[m],MOON_vel_i(X)[m/s],MOON_vel_i(Y)[m/s],MOON_vel_i(Z)[m/s],omega_true_b(X)[rad/s],omega_true_b(Y)[rad/s],omega_true_b(Z)[rad/s],quaternion_true_i2b(0)[-],quaternion_true_i2b(1)[-],quaternion_true_i2b(2)[-],quaternion_true_i2b(3)[-],torque_true_b(X)[Nm],torque_true_b(Y)[Nm],torque_true_b(Z)[Nm],h_total[Nms],k_sc[J],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s],sat_velocity_b(X)[m/s],sat_velocity_b(Y)[m/s],sat_velocity_b(Z)[m/s],sat_acc_i_i(X)[m/s^2],sat_acc_i_i(Y)[m/s^2],sat_acc_i_i(Z)[m/s^2],lat[rad],lon[rad],alt[m],mag_i(X)[nT],mag_i(Y)[nT],mag_i(Z)[nT],mag_b(X)[nT],mag_b(Y)[nT],mag_b(Z)[nT],sr_pressure[N/m^2],shadow coefficient,airdensity[kg/m^3],EARTH_pos_b(X)[m],EARTH_pos_b(Y)[m],EARTH_pos_b(Z)[m],EARTH_vel_b(X)[m/s],EARTH_vel_b(Y)[m/s],EARTH_vel_b(Z)[m/s],SUN_pos_b(X)[m],SUN_pos_b(Y)[m],SUN_pos_b(Z)[m],SUN_vel_b(X)[m/s],SUN_vel_b(Y)[m/s],SUN_vel_b(Z)[m/s],MOON_pos_b(X)[m],MOON_pos_b(Y)[m],MOON_pos_b(Z)[m],MOON_vel_b(X)[m/s],MOON_vel_b(Y)[m/s],MOON_vel_b(Z)[m/s],ggtorque_b(X)[Nm],ggtorque_b(Y)[Nm],ggtorque_b(Z)[Nm],srp_torque_b(X)[Nm],srp_torque_b(Y)[Nm],srp_torque_b(Z)[Nm],srp_force_b(X)[N],srp_force_b(Y)[N],srp_force_b(Z)[N],airdrag_torque_b(X)[Nm],airdrag_torque_b(Y)[Nm],airdrag_torque_b(Z)[Nm],airdrag_force_b(X)[N],airdrag_force_b(Y)[N],airdrag_force_b(Z)[N],rmm_b(X)[Am^2],rmm_b(Y)[Am^2],rmm_b(Z)[Am^2],mag_dist_torque_b(X)[Nm],mag_dist_torque_b(Y)[Nm],mag_dist_torque_b(Z)[Nm],acc_thirdbody_i(X)[m/s2],acc_thirdbody_i(Y)[m/s2],acc_thirdbody_i(Z)[m/s2],a_geop_ecef(X)[m/s2],a_geop_ecef(Y)[m/s2],a_geop_ecef(Z)[m/s2],gyro_omega1_c(X)[rad/s],gyro_omega1_c(Y)[rad/s],gyro_omega1_c(Z)[rad/s],rw_angular_velocity[rad/s],rw_angular_velocity_rpm[rpm],rw_angular_velocity_upperlimit[rpm],rw_angular_acceleration[rad/s^2],
0,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84214e+07,-5.56389e+07,143.728,887.073,356.6,0.02,0,0,0,0,0,1,0,-0,0,0.002,2e-05,-2111769.772374508,-5360353.225433829,3596181.649781079,4200.434474,-4637.540129,-4429.236126,4200.434474,-4637.540129,-4429.236126,0,0,0,0.560853,5.72264,419453,0,0,0,0,0,0,4.55649e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0,0,0,-0,-0,-0,0,0,0,0,0,0,0,0,6000,0,
0.1,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84213e+07,-5.56388e+07,143.728,887.073,356.6,0.019899,7.30516e-07,2.49015e-07,0.000997475,1.82608e-08,6.23147e-09,1,-0.00010098,7.30516e-07,2.49015e-07,0.0019899,1.97986e-05,-2111349.632802087,-5360817.036907832,3595738.617453132,4200.703048,-4636.858302,-4429.694813,4200.703152,-4645.686146,-4420.435546,-2.290190025e-06,2.70990982e-06,2.480792054e-06,0.560776,5.72273,419453,8017.65,31682.3,6458.73,8017.65,31682.3,6458.73,4.71293e-06,1,2.67144e-12,2.11177e+06,5.36035e+06,-3.59618e+06,-4200.43,-67286.1,-102778,2.61775e+10,-1.32802e+11,-5.75759e+10,25601.2,-1.15151e+09,2.65605e+09,4.00794e+08,-3.3061e+07,-5.9235e+07,-4056.71,-1.17918e+06,666005,0,0,0,1.09115e-08,1.00669e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01893e-07,2.1165e-08,6.57871e-07,-6.79036e-07,-3.17579e-05,3.61457e-05,3.40292e-05,0.0400568,0.0399199,0.0400734,-1.01179e-06,6.25787e-08,9.49029e-07,-0,-0,-0,0,0,0,0.0214835,0,0,0,0,6000,0,
0.2,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,0.0197985,1.45071e-06,4.96702e-07,0.00198991,7.2777e-08,2.49167e-08,0.999998,-0.000100471,7.20198e-07,2.47687e-07,0.00197985,1.95991e-05,-2110929.635387711,-5361280.593654979,3595295.71748848,4200.971461,-4636.176691,-4430.15326,4200.971873,-4653.771391,-4411.666419,-2.290341933e-06,2.710987e-06,2.479589105e-06,0.560699,5.72282,419452,7887.79,31661.2,6550.18,7887.79,31674.2,6487,4.71293e-06,1,2.67146e-12,2.11135e+06,5.35363e+06,-3.60643e+06,-4196.74,-67119.2,-102110,2.61776e+10,-1.32917e+11,-5.73109e+10,34480.5,-1.14043e+09,2.64494e+09,4.00794e+08,-3.31785e+07,-5.91684e+07,-4021.97,-1.17196e+06,665289,0,0,0,1.09594e-08,1.00262e-08,-2.09856e-08,-3.04621e-07,1.79394e-06,6.98003e-07,2.2886e-08,6.57006e-07,-6.79892e-07,-3.17602e-05,3.62291e-05,3.39405e-05,0.0399334,0.0399412,0.0400449,-1.00929e-06,5.68178e-08,9.4981e-07,-0,-0,-0,0,0,0,0.0218318,7.30516e-07,2.49015e-07,0,0,6000,0,
0.3,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,0.0196986,2.16719e-06,7.45907e-07,0.00297734,1.63185e-07,5.60959e-08,0.999996,-9.99699e-05,7.16477e-07,2.49205e-07,0.00196986,1.94017e-05,-2110509.442107749,-5361744.268756464,3594852.593431002,4201.239929,-4635.494746,-4430.611835,4201.240849,-4661.795777,-4402.929159,-2.290490229e-06,2.712059648e-06,2.478399303e-06,0.560621,5.72291,419452,7908.62,31734.2,6608.36,7908.62,31760.3,6482.02,4.71293e-06,1,2.67149e-12,2.11093e+06,5.34693e+06,-3.6166e+06,-4193.08,-66950.8,-101447,2.61776e+10,-1.3303e+11,-5.70469e+10,42724.2,-1.12945e+09,2.63385e+09,4.00794e+08,-3.32954e+07,-5.9102e+07,-3987.89,-1.16479e+06,664547,0,0,0,1.10068e-08,9.98574e-09,-2.09926e-08,-3.04441e-07,1.79482e-06,6.94133e-07,2.45974e-08,6.56145e-07,-6.80742e-07,-3.17624e-05,3.63118e-05,3.38521e-05,0.0399792,0.0399978,0.0400506,-1.01275e-06,5.75996e-08,9.53423e-07,-0,-0,-0,0,0,0,0.0217247,1.45071e-06,4.96702e-07,0,0,6000,0,
0.4,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.8421e+07,-5.56387e+07,143.727,887.073,356.6,0.0195991,2.89223e-06,9.86177e-07,0.00395977,2.89594e-07,9.96201e-08,0.999992,-9.94725e-05,7.25037e-07,2.4027e-07,0.00195991,1.92063e-05,-2110089.391024895,-5362207.689166662,3594409.601792156,4201.508235,-4634.813017,-4431.070169,4201.509864,-4669.760303,-4394.223431,-2.290635151e-06,2.713127304e-06,2.477222877e-06,0.560544,5.723,419451,8039.13,31642.2,6460.78,8039.13,31680.1,6272.25,4.71293e-06,1,2.67152e-12,2.11051e+06,5.34024e+06,-3.62672e+06,-4189.42,-66780.9,-100788,2.61776e+10,-1.33142e+11,-5.67841e+10,50339.1,-1.11858e+09,2.62278e+09,4.00793e+08,-3.34114e+07,-5.90355e+07,-3954.15,-1.15766e+06,663782,2.64873e-23,0,0,1.10539e-08,9.94545e-09,-2.09994e-08,-3.04261e-07,1.79568e-06,6.90284e-07,2.62992e-08,6.55287e-07,-6.81586e-07,-3.17646e-05,3.63939e-05,3.3764e-05,0.0400214,0.0399666,0.0400125,-1.01692e-06,7.06412e-08,9.46585e-07,-0,-0,-0,0,0,0,0.0209356,2.16719e-06,7.45907e-07,2.0454,19.5321,6000,20.454,
0.5,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56387e+07,143.727,887.073,356.6,0.0195001,3.61082e-06,1.22555e-06,0.00493725,4.52045e-07,1.5528e-07,0.999988,-9.8975e-05,7.18587e-07,2.39378e-07,0.00195001,1.90128e-05,-2109669.144065541,-5362671.227864522,3593966.386034884,4201.776595,-4634.130954,-4431.52863,4201.779135,-4677.664875,-4385.549643,-2.290776578e-06,2.714190265e-06,2.476059475e-06,0.560467,5.72309,419450,8000.72,31709.8,6547.03,8000.72,31760.6,6295.7,4.71293e-06,1,2.67154e-12,2.11009e+06,5.33357e+06,-3.63676e+06,-4185.78,-66609.6,-100133,2.61776e+10,-1.33254e+11,-5.65224e+10,59423.6,-1.1078e+09,2.61174e+09,4.00793e+08,-3.35269e+07,-5.89692e+07,-3919.68,-1.15057e+06,663001,0,1.32436e-23,0,1.11007e-08,9.90537e-09,-2.1006e-08,-3.04081e-07,1.79652e-06,6.86456e-07,2.79914e-08,6.54431e-07,-6.82423e-07,-3.17668e-05,3.64755e-05,3.36763e-05,0.0399122,0.0399836,0.0399947,-1.01853e-06,6.87115e-08,9.47737e-07,-0,-0,-0,0,0,0,0.0191048,2.89223e-06,9.86177e-07,4.12396,39.3809,6000,20.7856,
0.6,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56386e+07,143.727,887.073,356.6,0.0194017,4.3261e-06,1.46171e-06,0.00590978,6.50283e-07,2.23006e-07,0.999983,-9.84792e-05,7.15288e-07,2.36153e-07,0.00194017,1.88212e-05,-2109249.039328776,-5363134.511921652,3593523.302737266,4202.044795,-4633.449107,-4431.986851,4202.048445,-4685.510486,-4376.907457,-2.290914746e-06,2.715248076e-06,2.474909322e-06,0.56039,5.72318,419450,7932.3,31609.9,6516.44,7932.3,31672.7,6204,4.71293e-06,1,2.67157e-12,2.10967e+06,5.32692e+06,-3.64674e+06,-4182.16,-66436.8,-99482.5,2.61776e+10,-1.33364e+11,-5.62618e+10,68048.7,-1.09713e+09,2.60072e+09,4.00792e+08,-3.36416e+07,-5.89029e+07,-3885.64,-1.14353e+06,662198,0,1.32436e-23,1.32436e-23,1.1147e-08,9.86549e-09,-2.10125e-08,-3.03901e-07,1.79735e-06,6.82648e-07,2.96741e-08,6.53579e-07,-6.83253e-07,-3.17689e-05,3.65564e-05,3.3589e-05,0.0399185,0.0400615,0.0400327,-1.0194e-06,6.98974e-08,9.46547e-07,-0,-0,-0,0,0,0,0.0202229,3.61082e-06,1.22555e-06,6.19232,59.1323,6000,20.6836,
0.7,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84208e+07,-5.56386e+07,143.727,887.073,356.6,0.0193037,5.04455e-06,1.694e-06,0.00687739,8.84292e-07,3.02659e-07,0.999976,-9.79895e-05,7.18442e-07,2.32288e-07,0.00193037,1.86316e-05,-2108828.738708,-5363597.914196024,3593079.995299222,4202.313049,-4632.766926,-4432.4452,4202.318008,-4693.297035,-4368.297276,-2.291049539e-06,2.716301039e-06,2.473772065e-06,0.560313,5.72327,419449,8081.07,31641.4,6529.19,8081.08,31716.3,6154.76,4.71293e-06,1,2.6716e-12,2.10926e+06,5.32029e+06,-3.65666e+06,-4178.56,-66262.7,-98836.3,2.61776e+10,-1.33473e+11,-5.60022e+10,76710.1,-1.08656e+09,2.58972e+09,4.00792e+08,-3.37556e+07,-5.88367e+07,-3851.75,-1.13653e+06,661375,2.64873e-23,0,1.32436e-23,1.11929e-08,9.82582e-09,-2.10188e-08,-3.03721e-07,1.79815e-06,6.78861e-07,3.13474e-08,6.5273e-07,-6.84078e-07,-3.1771e-05,3.66368e-05,3.3502e-05,0.0399686,0.0399655,0.0400336,-1.02374e-06,7.75169e-08,9.44693e-07,-0,-0,-0,0,0,0,0.0191005,4.3261e-06,1.46171e-06,8.18555,78.1662,6000,19.9323,
0.8,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84207e+07,-5.56386e+07,143.726,887.073,356.6,0.0192062,5.75642e-06,1.92783e-06,0.00784011,1.15398e-06,3.94214e-07,0.999969,-9.74982e-05,7.1187e-07,2.33835e-07,0.00192062,1.84438e-05,-2108408.580345475,-5364061.061869013,3592636.820372578,4202.581141,-4632.08496,-4432.903308,4202.587608,-4701.025509,-4359.718755,-2.291181188e-06,2.717348705e-06,2.472647928e-06,0.560235,5.72336,419449,7996.73,31626.4,6550.18,7996.74,31713.5,6114.57,4.71293e-06,1,2.67163e-12,2.10884e+06,5.31367e+06,-3.66651e+06,-4174.97,-66087.3,-98194.3,2.61776e+10,-1.33581e+11,-5.57438e+10,85868,-1.07609e+09,2.57875e+09,4.00792e+08,-3.38689e+07,-5.87707e+07,-3817.63,-1.12957e+06,660533,0,0,0,1.12385e-08,9.78635e-09,-2.10249e-08,-3.03541e-07,1.79895e-06,6.75094e-07,3.30111e-08,6.51884e-07,-6.84895e-07,-3.1773e-05,3.67165e-05,3.34154e-05,0.039986,0.0399999,0.0400062,-1.02415e-06,7.54222e-08,9.48225e-07,-0,-0,-0,0,0,0,0.0182474,5.04455e-06,1.694e-06,10.0045,95.5357,6000,18.1893,
0.9,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84206e+07,-5.56385e+07,143.726,887.073,356.6,0.0191092,6.46469e-06,2.16052e-06,0.00879796,1.45907e-06,4.97715e-07,0.999961,-9.70093e-05,7.08279e-07,2.32685e-07,0.00191092,1.8258e-05,-2107988.226081239,-5364524.327700046,3592193.421272765,4202.849288,-4631.402662,-4433.361544,4202.857457,-4708.695805,-4351.172295,-2.291309575e-06,2.718391379e-06,2.471536555e-06,0.560158,5.72345,419448,8072.37,31667.6,6657.98,8072.38,31768.1,6160.64,4.71293e-06,1,2.67165e-12,2.10842e+06,5.30707e+06,-3.6763e+06,-4171.38,-65910.5,-97556.5,2.61776e+10,-1.33688e+11,-5.54865e+10,94247.2,-1.06572e+09,2.5678e+09,4.00791e+08,-3.39815e+07,-5.87047e+07,-3784.01,-1.12265e+06,659671,0,-1.32436e-23,0,1.12837e-08,9.74709e-09,-2.10308e-08,-3.03361e-07,1.79972e-06,6.71348e-07,3.46655e-08,6.51041e-07,-6.85707e-07,-3.1775e-05,3.67956e-05,3.33291e-05,0.0400428,0.0400156,0.0400083,-1.02447e-06,7.62728e-08,9.49062e-07,-0,-0,-0,0,0,0,0.0200934,5.75642e-06,1.92783e-06,11.9299,113.922,6000,19.2538,
1,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84205e+07,-5.56385e+07,143.726,887.073,356.6,0.0190126,7.17243e-06,2.39113e-06,0.00975096,1.79945e-06,6.13116e-07,0.999952,-9.65291e-05,7.07735e-07,2.30614e-07,0.00190126,1.8074e-05,-2107568.014107523,-5364987.338972782,3591750.154732526,4203.117274,-4630.720578,-4433.819539,4203.127336,-4716.308901,-4342.657544,-2.291434934e-06,2.719428617e-06,2.470438166e-06,0.560081,5.72354,419447,7974.27,31620.9,6540.92,7974.28,31731.1,5983.55,4.71293e-06,1,2.67168e-12,2.108e+06,5.30049e+06,-3.68602e+06,-4167.82,-65732.5,-96923,2.61776e+10,-1.33795e+11,-5.52303e+10,102382,-1.05545e+09,2.55688e+09,4.00791e+08,-3.40934e+07,-5.86387e+07,-3750.64,-1.11578e+06,658787,2.64872e-23,0,1.32436e-23,1.13285e-08,9.70803e-09,-2.10366e-08,-3.03181e-07,1.80047e-06,6.67622e-07,3.63104e-08,6.50201e-07,-6.86512e-07,-3.1777e-05,3.68742e-05,3.32432e-05,0.0399499,0.0399645,0.0400276,-1.03099e-06,8.01487e-08,9.48965e-07,-0,-0,-0,0,0,0,0.0204506,6.46469e-06,2.16052e-06,13.7484,131.287,6000,18.1851,
1.1,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84204e+07,-5.56384e+07,143.726,887.073,356.6,0.0189166,7.8718e-06,2.62669e-06,0.0106991,2.1749e-06,7.40522e-07,0.999943,-9.60463e-05,6.99368e-07,2.35562e-07,0.00189166,1.78919e-05,-2107147.606228003,-5365450.468329389,3591306.664000712,4203.385314,-4630.038162,-4434.277661,4203.397458,-4723.864686,-4334.174902,-2.291557138e-06,2.720460728e-06,2.469352406e-06,0.560004,5.72363,419447,7940.02,31685.9,6659.76,7940.04,31809.7,6040.62,4.71293e-06,1,2.67171e-12,2.10759e+06,5.29392e+06,-3.69568e+06,-4164.26,-65553.2,-96293.5,2.61776e+10,-1.339e+11,-5.49751e+10,110573,-1.04527e+09,2.54598e+09,4.00791e+08,-3.42047e+07,-5.85729e+07,-3717.3,-1.10894e+06,657886,0,0,-1.32436e-23,1.1373e-08,9.66917e-09,-2.10422e-08,-3.03002e-07,1.80121e-06,6.63916e-07,3.7946e-08,6.49365e-07,-6.87311e-07,-3.17789e-05,3.69522e-05,3.31576e-05,0.04003,0.0399836,0.0400505,-1.03247e-06,7.61965e-08,9.55871e-07,-0,-0,-0,0,0,0,0.0184415,7.17243e-06,2.39113e-06,15.4857,147.877,6000,17.373,
1.2,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84203e+07,-5.56384e+07,143.725,887.073,356.6,0.018821,8.56996e-06,2.85683e-06,0.0116425,2.58515e-06,8.79954e-07,0.999932,-9.55628e-05,6.98165e-07,2.30138e-07,0.0018821,1.77115e-05,-2106727.340667855,-5365913.343174553,3590863.305873048,4203.653193,-4629.35596,-4434.735543,4203.667604,-4731.364135,-4325.724011,-2.291676421e-06,2.721487271e-06,2.468279493e-06,0.559927,5.72372,419446,7955.5,31646.8,6641.57,7955.52,31781.6,5962.94,4.71293e-06,1,2.67173e-12,2.10717e+06,5.28738e+06,-3.70528e+06,-4160.7,-65372.7,-95668.2,2.61776e+10,-1.34004e+11,-5.47211e+10,117443,-1.03519e+09,2.5351e+09,4.0079e+08,-3.43152e+07,-5.85071e+07,-3684.69,-1.10215e+06,656964,2.64872e-23,0,1.32436e-23,1.14171e-08,9.63052e-09,-2.10476e-08,-3.02822e-07,1.80194e-06,6.6023e-07,3.95722e-08,6.48531e-07,-6.88103e-07,-3.17807e-05,3.70296e-05,3.30724e-05,0.0399816,0.0400049,0.0399434,-1.03092e-06,7.93625e-08,9.52422e-07,-0,-0,-0,0,0,0,0.0212694,7.8718e-06,2.62669e-06,17.3987,166.146,6000,19.1305,
1.3,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84202e+07,-5.56384e+07,143.725,887.073,356.6,0.0187259,9.26737e-06,3.08804e-06,0.0125811,3.03014e-06,1.03134e-06,0.999921,-9.50921e-05,6.97403e-07,2.31212e-07,0.00187259,1.7533e-05,-2106306.879191024,-5366376.336036899,3590419.723528253,4203.921126,-4628.673426,-4435.193553,4203.937988,-4738.80713,-4317.305265,-2.291792659e-06,2.722508563e-06,2.467219068e-06,0.559849,5.72381,419446,7868.33,31640.9,6540.45,7868.35,31784.6,5802,4.71293e-06,1,2.67176e-12,2.10676e+06,5.28085e+06,-3.71482e+06,-4157.17,-65191.1,-95047.1,2.61776e+10,-1.34107e+11,-5.44681e+10,124784,-1.02521e+09,2.52425e+09,4.0079e+08,-3.44251e+07,-5.84415e+07,-3652.03,-1.09541e+06,656025,-2.64872e-23,0,0,1.14608e-08,9.59207e-09,-2.10529e-08,-3.02643e-07,1.80264e-06,6.56564e-07,4.11891e-08,6.47701e-07,-6.8889e-07,-3.17826e-05,3.71064e-05,3.29875e-05,0.03997,0.0400328,0.0400168,-1.03965e-06,8.29599e-08,9.55439e-07,-0,-0,-0,0,0,0,0.0212211,8.56996e-06,2.85683e-06,19.3458,184.739,6000,19.4705,
1.4,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84202e+07,-5.56384e+07,143.725,887.073,356.6,0.0186313,9.96416e-06,3.31844e-06,0.013515,3.50984e-06,1.19471e-06,0.999909,-9.46129e-05,6.96791e-07,2.30397e-07,0.00186313,1.73563e-05,-2105886.560065808,-5366839.074430923,3589976.273835766,4204.188898,-4627.991107,-4435.651322,4204.208392,-4746.194635,-4308.918299,-2.291906082e-06,2.723524163e-06,2.466171349e-06,0.559772,5.7239,419445,7958.06,31597.8,6551.35,7958.09,31752.6,5754.31,4.71293e-06,1,2.67179e-12,2.10634e+06,5.27434e+06,-3.72429e+06,-4153.63,-65008.2,-94429.9,2.61776e+10,-1.34209e+11,-5.42162e+10,131764,-1.01532e+09,2.51343e+09,4.00789e+08,-3.45343e+07,-5.83759e+07,-3619.52,-1.0887e+06,655068,0,0,1.32436e-23,1.15041e-08,9.55381e-09,-2.1058e-08,-3.02463e-07,1.80333e-06,6.52918e-07,4.27968e-08,6.46874e-07,-6.8967e-07,-3.17843e-05,3.71827e-05,3.2903e-05,0.0401564,0.0400229,0.0399308,-1.0376e-06,8.67005e-08,9.56566e-07,-0,-0,-0,0,0,0,0.0209666,9.26737e-06,3.08804e-06,21.1015,201.505,6000,17.5577,
