time[sec],EARTH_pos_i(X)[m],EARTH_pos_i(Y)[m],EARTH_pos_i(Z)[m],EARTH_vel_i(X)[m/s],EARTH_vel_i(Y)[m/s],EARTH_vel_i(Z)[m/s],SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],SUN_vel_i(X)[m/s],SUN_vel_i(Y)[m/s],SUN_vel_i(Z)[m/s],MOON_pos_i(X)[m],MOON_pos_i(Y)[m],MOON_pos_i(Z)[m],MOON_vel_i(X)[m/s],MOON_vel_i(Y)[m/s],MOON_vel_i(Z)[m/s],omega_true_b(X)[rad/s],omega_true_b(Y)[rad/s],omega_true_b(Z)[rad/s],quaternion_true_i2b(0)[-],quaternion_true_i2b(1)[-],quaternion_true_i2b(2)[-],quaternion_true_i2b(3)[-],torque_true_b(X)[Nm],torque_true_b(Y)[Nm],torque_true_b(Z)[Nm],h_total[Nms],k_sc[J],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s],sat_velocity_b(X)[m/s],sat_velocity_b(Y)[m/s],sat_velocity_b(Z)[m/s],sat_acc_i_i(X)[m/s^2],sat_acc_i_i(Y)[m/s^2],sat_acc_i_i(Z)[m/s^2],lat[rad],lon[rad],alt[m],mag_i(X)[nT],mag_i(Y)[nT],mag_i(Z)[nT],mag_b(X)[nT],mag_b(Y)[nT],mag_b(Z)[nT],sr_pressure[N/m^2],shadow coefficient,airdensity[kg/m^3],EARTH_pos_b(X)[m],EARTH_pos_b(Y)[m],EARTH_pos_b(Z)[m],EARTH_vel_b(X)[m/s],EARTH_vel_b(Y)[m/s],EARTH_vel_b(Z)[m/s],SUN_pos_b(X)[m],SUN_pos_b(Y)[m],SUN_pos_b(Z)[m],SUN_vel_b(X)[m/s],SUN_vel_b(Y)[m/s],SUN_vel_b(Z)[m/s],MOON_pos_b(X)[m],MOON_pos_b(Y)[m],MOON_pos_b(Z)[m],MOON_vel_b(X)[m/s],MOON_vel_b(Y)[m/s],MOON_vel_b(Z)[m/s],ggtorque_b(X)[Nm],ggtorque_b(Y)[Nm],ggtorque_b(Z)[Nm],srp_torque_b(X)[Nm],srp_torque_b(Y)[Nm],srp_torque_b(Z)[Nm],srp_force_b(X)[N],srp_force_b(Y)[N],srp_force_b(Z)[N],airdrag_torque_b(X)[Nm],airdrag_torque_b(Y)[Nm],airdrag_torque_b(Z)[Nm],airdrag_force_b(X)[N],airdrag_force_b(Y)[N],airdrag_force_b(Z)[N],rmm_b(X)[Am^2],rmm_b(Y)[Am^2],rmm_b(Z)[Am^2],mag_dist_torque_b(X)[Nm],mag_dist_torque_b(Y)[Nm],mag_dist_torque_b(Z)[Nm],acc_thirdbody_i(X)[m/s2],acc_thirdbody_i(Y)[m/s2],acc_thirdbody_i(Z)[m/s2],a_geop_ecef(X)[m/s2],a_geop_ecef(Y)[m/s2],a_geop_ecef(Z)[m/s2],gyro_omega1_c(X)[rad/s],gyro_omega1_c(Y)[rad/s],gyro_omega1_c(Z)[rad/s],
0,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84214e+07,-5.56389e+07,143.728,887.073,356.6,1,0,0,0,0,0,1,0,-0,0,0.1,0,-2111769.772374508,-5360353.225433829,3596181.649781079,4200.434474,-4637.540129,-4429.236126,4200.434474,-4637.540129,-4429.236126,0,0,0,0.560853,5.72264,419453,0,0,0,0,0,0,4.55649e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0,0,0,-0,-0,-0,0,0,0,0,0,0,
0.1,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84213e+07,-5.56388e+07,143.728,887.073,356.6,0.999999,7.30516e-07,2.49015e-07,0.0499791,1.81516e-08,6.52709e-09,0.99875,-9.79711e-07,7.30516e-07,2.49015e-07,0.0999999,0.0499999,-2111349.632802087,-5360817.036907832,3595738.617453132,4200.703048,-4636.858302,-4429.694813,4200.703137,-5055.924747,-3944.651476,-2.290190025e-06,2.70990982e-06,2.480792054e-06,0.560776,5.72273,419453,8017.65,31682.3,6458.73,8017.65,31682.3,6458.73,4.71293e-06,1,2.67144e-12,2.11177e+06,5.36035e+06,-3.59618e+06,-4200.43,-3.59154e+06,-5.35592e+06,2.61775e+10,-1.32802e+11,-5.75759e+10,25601.2,-5.75759e+10,1.32802e+11,4.00794e+08,-3.3061e+07,-5.9235e+07,-4056.71,-5.92295e+07,3.30658e+07,0,0,0,1.09115e-08,1.00669e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01893e-07,2.1165e-08,6.57871e-07,-6.79036e-07,-3.17579e-05,3.61457e-05,3.40292e-05,0.0400568,0.0399199,0.0400734,-1.01179e-06,6.25787e-08,9.49029e-07,-0,-0,-0,0,0,0,1,0,0,
0.2,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,0.999998,1.52869e-06,4.76416e-07,0.0998333,7.38239e-08,2.68663e-08,0.995004,-1.02832e-06,7.98173e-07,2.27401e-07,0.0999998,0.0499998,-2110929.635387711,-5361280.593654979,3595295.71748848,4200.971461,-4636.176691,-4430.15326,4200.971772,-5423.896891,-3420.779461,-2.281750189e-06,2.789227517e-06,2.411240463e-06,0.560699,5.72282,419452,7887.79,31661.2,6550.18,7887.79,32156.9,3356.61,4.71293e-06,1,2.67146e-12,2.11135e+06,4.97506e+06,-4.11296e+06,-4196.6,-4.1079e+06,-4.97111e+06,2.61776e+10,-1.37887e+11,-4.40302e+10,29007.7,-4.40302e+10,1.37886e+11,4.00794e+08,-3.88088e+07,-5.56381e+07,-4023.99,-5.56321e+07,3.88133e+07,0,0,-1.32437e-23,1.31121e-08,8.03996e-09,-2.11521e-08,-2.94669e-07,1.82054e-06,5.09326e-07,1.12227e-07,6.08308e-07,-7.20535e-07,-3.16498e-05,4.04037e-05,2.9181e-05,0.0399334,0.0399412,0.0400449,-1.15365e-06,1.81825e-07,9.69088e-07,-0,-0,-0,0,0,0,1,0,0,
0.3,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,0.999997,2.3999e-06,6.80416e-07,0.149438,1.69751e-07,6.2061e-08,0.988771,-1.07711e-06,8.71211e-07,2.04e-07,0.0999997,0.0499997,-2110509.442107749,-5361744.268756464,3594852.593431002,4201.239929,-4635.494746,-4430.611835,4201.24053,-5737.791607,-2862.843901,-2.26236769e-06,2.865040395e-06,2.363530718e-06,0.560621,5.72291,419452,7908.62,31734.2,6608.36,7908.62,32414.6,172.023,4.71293e-06,1,2.67149e-12,2.11093e+06,4.54014e+06,-4.58875e+06,-4192.41,-4.58332e+06,-4.5367e+06,2.61776e+10,-1.41593e+11,-3.00446e+10,27622.9,-3.00445e+10,1.41593e+11,4.00794e+08,-4.41689e+07,-5.14853e+07,-3991.16,-5.14789e+07,4.4173e+07,0,0,0,1.48596e-08,6.08458e-09,-2.09441e-08,-2.82361e-07,1.81205e-06,3.26097e-07,1.99378e-07,5.55258e-07,-7.54636e-07,-3.13908e-05,4.40728e-05,2.4135e-05,0.0399792,0.0399978,0.0400506,-1.29134e-06,3.09868e-07,9.7958e-07,-0,-0,-0,0,0,0,1,0,0,
0.4,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.8421e+07,-5.56387e+07,143.727,887.073,356.6,0.999996,3.35353e-06,8.44883e-07,0.198669,3.08979e-07,1.13056e-07,0.980067,-1.11727e-06,9.53635e-07,1.64468e-07,0.0999996,0.0499996,-2110089.391024895,-5362207.689166662,3594409.601792156,4201.508235,-4634.813017,-4431.070169,4201.509123,-5994.484038,-2276.406859,-2.232236564e-06,2.923820751e-06,2.341792236e-06,0.560544,5.723,419451,8039.13,31642.2,6460.78,8039.13,32138.2,-3178.66,4.71293e-06,1,2.67152e-12,2.11051e+06,4.05992e+06,-5.0188e+06,-4187.89,-5.01304e+06,-4.05704e+06,2.61776e+10,-1.43885e+11,-1.57588e+10,21312.2,-1.57587e+10,1.43885e+11,4.00793e+08,-4.90874e+07,-4.68182e+07,-3958.61,-4.68115e+07,4.90912e+07,0,0,0,1.60972e-08,4.26473e-09,-2.03619e-08,-2.67999e-07,1.76819e-06,1.58473e-07,2.79601e-07,5.0049e-07,-7.8009e-07,-3.09833e-05,4.70257e-05,1.90657e-05,0.0400214,0.0399666,0.0400125,-1.41297e-06,4.4888e-07,9.6492e-07,-0,-0,-0,0,0,0,1,0,0,
0.5,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56387e+07,143.727,887.073,356.6,0.999995,4.37411e-06,9.77095e-07,0.247403,4.9432e-07,1.80866e-07,0.968913,-1.15577e-06,1.02057e-06,1.32212e-07,0.0999995,0.0499995,-2109669.144065541,-5362671.227864522,3593966.386034884,4201.776595,-4634.130954,-4431.52863,4201.777686,-6191.4188,-1667.31514,-2.19165759e-06,2.95170213e-06,2.345958708e-06,0.560467,5.72309,419450,8000.72,31709.8,6547.03,8000.72,31756.2,-6318.12,4.71293e-06,1,2.67154e-12,2.11009e+06,3.5392e+06,-5.39881e+06,-4183.16,-5.39279e+06,-3.5369e+06,2.61775e+10,-1.4474e+11,-1.31552e+09,12189,-1.3155e+09,1.44739e+11,4.00793e+08,-5.35156e+07,-4.16834e+07,-3926.01,-4.16763e+07,5.35189e+07,-2.64873e-23,1.32436e-23,0,1.6788e-08,2.63808e-09,-1.94261e-08,-2.51728e-07,1.69088e-06,1.20803e-08,3.50142e-07,4.4578e-07,-7.95922e-07,-3.04315e-05,4.91607e-05,1.41465e-05,0.0399122,0.0399836,0.0399947,-1.5227e-06,5.72157e-07,9.4756e-07,-0,-0,-0,0,0,0,1,0,0,
0.6,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56386e+07,143.727,887.073,356.6,0.999993,5.46252e-06,1.06969e-06,0.295519,7.2811e-07,2.66738e-07,0.955337,-1.18611e-06,1.08841e-06,9.25986e-08,0.0999993,0.0499993,-2109249.039328776,-5363134.511921652,3593523.302737266,4202.044795,-4633.449107,-4431.986851,4202.045906,-6326.636949,-1041.639882,-2.143283997e-06,2.947411093e-06,2.376362071e-06,0.56039,5.72318,419450,7932.3,31609.9,6516.44,7932.31,30864.4,-9435.83,4.71293e-06,1,2.67157e-12,2.10968e+06,2.98315e+06,-5.725e+06,-4178.3,-5.71878e+06,-2.98146e+06,2.61775e+10,-1.44148e+11,1.31409e+10,-1905.45,1.31408e+10,1.44147e+11,4.00792e+08,-5.74089e+07,-3.61322e+07,-3895.22,-3.61248e+07,5.74118e+07,0,0,6.62182e-24,1.88668e-08,1.35047e-09,-2.02173e-08,-2.65179e-07,1.75655e-06,-1.30132e-07,4.08622e-07,3.92844e-07,-8.01466e-07,-2.97408e-05,5.04058e-05,9.54362e-06,0.0399185,0.0400615,0.0400327,-1.6136e-06,6.94216e-07,9.14282e-07,-0,-0,-0,0,0,0,1,0,0,
0.7,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84208e+07,-5.56386e+07,143.727,887.073,356.6,0.999992,6.62786e-06,1.12059e-06,0.342897,1.01283e-06,3.72048e-07,0.939373,-1.21758e-06,1.16534e-06,5.08945e-08,0.0999992,0.0499992,-2108828.738708,-5363597.914196024,3593079.995299222,4202.313049,-4632.766926,-4432.4452,4202.313896,-6398.794146,-405.6182931,-2.085575475e-06,2.890367481e-06,2.420097506e-06,0.560313,5.72327,419449,8081.07,31641.4,6529.19,8081.1,29801.4,-12477.2,4.71293e-06,1,2.6716e-12,2.10926e+06,2.39734e+06,-5.99411e+06,-4173.44,-5.98774e+06,-2.39627e+06,2.61775e+10,-1.42116e+11,2.74659e+10,-19882.7,2.74658e+10,1.42115e+11,4.00792e+08,-6.07286e+07,-3.02201e+07,-3866.58,-3.02124e+07,6.07311e+07,-1.32436e-23,0,0,2.10096e-08,-1.4393e-10,-2.08657e-08,-2.79899e-07,1.80667e-06,-2.94292e-07,4.5312e-07,3.43277e-07,-7.96397e-07,-2.89182e-05,5.07215e-05,5.4095e-06,0.0399686,0.0399655,0.0400336,-1.69171e-06,8.22212e-07,8.68157e-07,-0,-0,-0,0,0,0,1,0,0,
0.8,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84207e+07,-5.56386e+07,143.726,887.073,356.6,0.999991,7.85881e-06,1.1348e-06,0.389417,1.35072e-06,4.9852e-07,0.921062,-1.24589e-06,1.23094e-06,1.42099e-08,0.0999991,0.0499991,-2108408.580345475,-5364061.061869013,3592636.820372578,4202.581141,-4632.08496,-4432.903308,4202.581323,-6407.175104,234.4109034,-2.018883043e-06,2.772167008e-06,2.465881344e-06,0.560235,5.72336,419449,7996.73,31626.4,6550.18,7996.76,28409,-15364.3,4.71293e-06,1,2.67163e-12,2.10884e+06,1.7876e+06,-6.20345e+06,-4168.66,-6.19701e+06,-1.78716e+06,2.61775e+10,-1.38664e+11,4.15166e+10,-40664.7,4.15163e+10,1.38663e+11,4.00792e+08,-6.34415e+07,-2.40062e+07,-3840.07,-2.39982e+07,6.34434e+07,0,1.32436e-23,0,2.29681e-08,-1.82545e-09,-2.11426e-08,-2.92589e-07,1.82167e-06,-4.75134e-07,4.8225e-07,2.98488e-07,-7.80738e-07,-2.79718e-05,5.0102e-05,1.87704e-06,0.039986,0.0399999,0.0400062,-1.75111e-06,9.34278e-07,8.1609e-07,-0,-0,-0,0,0,0,1,0,0,
0.9,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84206e+07,-5.56385e+07,143.726,887.073,356.6,0.99999,9.16856e-06,1.09065e-06,0.434964,1.74401e-06,6.47822e-07,0.900448,-1.26426e-06,1.30976e-06,-4.41443e-08,0.099999,0.049999,-2107988.226081239,-5364524.327700046,3592193.421272765,4202.849288,-4631.402662,-4433.361544,4202.848284,-6351.69983,872.068174,-2.000270334e-06,2.654731196e-06,2.557622774e-06,0.560158,5.72345,419448,8072.37,31667.6,6657.98,8072.42,26839.3,-18078.2,4.71293e-06,1,2.67165e-12,2.10843e+06,1.16e+06,-6.35095e+06,-4164.07,-6.34448e+06,-1.16021e+06,2.61774e+10,-1.33827e+11,5.51524e+10,-64941.4,5.5152e+10,1.33826e+11,4.00791e+08,-6.55205e+07,-1.75525e+07,-3817.01,-1.75443e+07,6.55218e+07,0,0,3.3109e-24,2.46719e-08,-3.63366e-09,-2.10383e-08,-3.03124e-07,1.8007e-06,-6.6649e-07,5.08275e-07,2.66526e-07,-7.74801e-07,-2.77007e-05,4.97794e-05,-1.04806e-06,0.0400428,0.0400156,0.0400083,-1.7972e-06,1.04686e-06,7.51695e-07,-0,-0,-0,0,0,0,1,0,0,
1,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84205e+07,-5.56385e+07,143.726,887.073,356.6,0.999988,1.05522e-05,9.48075e-07,0.479423,2.19561e-06,8.20625e-07,0.877584,-1.24278e-06,1.38364e-06,-1.42579e-07,0.0999988,0.0499988,-2107568.014107523,-5364987.338972782,3591750.154732526,4203.117274,-4630.720578,-4433.819539,4203.114453,-6232.924957,1500.999323,-2.07112287e-06,2.620439622e-06,2.697559233e-06,0.560081,5.72354,419447,7974.27,31620.9,6540.92,7974.33,24779.6,-20703.5,4.71293e-06,1,2.67168e-12,2.10801e+06,520809,-6.43511e+06,-4159.88,-6.42869e+06,-521661,2.61774e+10,-1.27652e+11,6.82371e+10,-88134.4,6.82365e+10,1.27651e+11,4.00791e+08,-6.69447e+07,-1.09236e+07,-3796.28,-1.09152e+07,6.69454e+07,0,0,0,2.60597e-08,-5.50342e-09,-2.05563e-08,-3.11398e-07,1.74423e-06,-8.6174e-07,5.5043e-07,2.42845e-07,-7.93276e-07,-2.86843e-05,5.06432e-05,-4.39977e-06,0.0399499,0.0399645,0.0400276,-1.81927e-06,1.14629e-06,6.71253e-07,-0,-0,-0,0,0,0,1,0,0,
1.1,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84204e+07,-5.56384e+07,143.726,887.073,356.6,0.999987,1.19977e-05,7.19302e-07,0.522684,2.70823e-06,1.01717e-06,0.852526,-1.21562e-06,1.44553e-06,-2.28773e-07,0.0999987,0.0499987,-2107147.606228003,-5365450.468329389,3591306.664000712,4203.385314,-4630.038162,-4434.277661,4203.379937,-6052.037822,2114.936209,-2.133152182e-06,2.583029529e-06,2.775032589e-06,0.560004,5.72363,419447,7940.02,31685.9,6659.76,7940.11,22724.1,-23064.3,4.71293e-06,1,2.67171e-12,2.1076e+06,-123602,-6.4551e+06,-4156.41,-6.44879e+06,122114,2.61773e+10,-1.20202e+11,8.06401e+10,-104167,8.06392e+10,1.20201e+11,4.0079e+08,-6.77001e+07,-4.18555e+06,-3777.11,-4.177e+06,6.77002e+07,0,0,-4.13863e-25,2.70814e-08,-7.36743e-09,-1.97139e-08,-3.17327e-07,1.65407e-06,-1.05407e-06,5.89605e-07,2.11624e-07,-8.01229e-07,-2.95468e-05,5.05761e-05,-8.38441e-06,0.04003,0.0399836,0.0400505,-1.8323e-06,1.24127e-06,5.9217e-07,-0,-0,-0,0,0,0,0.999988,1.05522e-05,9.48075e-07,
1.2,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84203e+07,-5.56384e+07,143.725,887.073,356.6,0.999986,1.34876e-05,3.94544e-07,0.564639,3.28387e-06,1.23775e-06,0.825338,-1.16538e-06,1.48984e-06,-3.24758e-07,0.0999986,0.0499986,-2106727.340667855,-5365913.343174553,3590863.305873048,4203.653193,-4629.35596,-4434.735543,4203.644407,-5810.844666,2707.76182,-2.185741009e-06,2.554216613e-06,2.796196309e-06,0.559927,5.72372,419446,7955.5,31646.8,6641.57,7955.62,20274.1,-25191.1,4.71293e-06,1,2.67173e-12,2.10718e+06,-766806,-6.41072e+06,-4153.76,-6.40458e+06,764697,2.61772e+10,-1.11551e+11,9.22373e+10,-114022,9.22362e+10,1.1155e+11,4.0079e+08,-6.77791e+07,2.5942e+06,-3760.72,2.60281e+06,6.77784e+07,6.6218e-24,1.32436e-23,1.65545e-24,2.76997e-08,-9.15878e-09,-1.85409e-08,-3.20854e-07,1.53324e-06,-1.23673e-06,6.24499e-07,1.74045e-07,-7.98543e-07,-3.02795e-05,4.95749e-05,-1.2875e-05,0.0399816,0.0400049,0.0399434,-1.81758e-06,1.32496e-06,4.92326e-07,-0,-0,-0,0,0,0,0.999988,1.05522e-05,9.48075e-07,
1.3,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84202e+07,-5.56384e+07,143.725,887.073,356.6,0.999985,1.50071e-05,-2.10516e-08,0.605183,3.92384e-06,1.48247e-06,0.796087,-1.10663e-06,1.51957e-06,-4.15595e-07,0.0999985,0.0499985,-2106306.879191024,-5366376.336036899,3590419.723528253,4203.921126,-4628.673426,-4435.193553,4203.907968,-5511.752782,3273.568608,-2.228365933e-06,2.543080116e-06,2.770803001e-06,0.559849,5.72381,419446,7868.33,31640.9,6540.45,7868.48,17561.5,-27120.4,4.71293e-06,1,2.67176e-12,2.10677e+06,-1.40239e+06,-6.30242e+06,-4152.16,-6.2965e+06,1.39968e+06,2.6177e+10,-1.01786e+11,1.02913e+11,-115618,1.02912e+11,1.01784e+11,4.0079e+08,-6.71809e+07,9.34795e+06,-3747.75,9.35653e+06,6.71793e+07,0,0,-3.3109e-24,2.78923e-08,-1.08136e-08,-1.70787e-08,-3.21942e-07,1.38593e-06,-1.4033e-06,6.53939e-07,1.31514e-07,-7.85453e-07,-3.08751e-05,4.76702e-05,-1.77237e-05,0.03997,0.0400328,0.0400168,-1.78846e-06,1.39887e-06,3.86937e-07,-0,-0,-0,0,0,0,0.999988,1.05522e-05,9.48075e-07,
1.4,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84202e+07,-5.56384e+07,143.725,887.073,356.6,0.999984,1.65505e-05,-5.24558e-07,0.644213,4.62886e-06,1.75155e-06,0.764846,-1.03341e-06,1.54334e-06,-5.03507e-07,0.0999984,0.0499984,-2105886.560065808,-5366839.074430923,3589976.273835766,4204.188898,-4627.991107,-4435.651322,4204.170294,-5157.746033,3806.719929,-2.260603042e-06,2.555187903e-06,2.711218811e-06,0.559772,5.7239,419445,7958.06,31597.8,6551.35,7958.26,14765.3,-28693.6,4.71293e-06,1,2.67179e-12,2.10636e+06,-2.02402e+06,-6.13125e+06,-4151.77,-6.12563e+06,2.02073e+06,2.61769e+10,-9.10031e+10,1.1256e+11,-108267,1.12559e+11,9.10019e+10,4.00789e+08,-6.59114e+07,1.60082e+07,-3738.93,1.60167e+07,6.5909e+07,-1.32436e-23,-1.32436e-23,0,2.76522e-08,-1.22735e-08,-1.53787e-08,-3.2058e-07,1.21729e-06,-1.54793e-06,6.76933e-07,8.56035e-08,-7.62536e-07,-3.13278e-05,4.49258e-05,-2.27674e-05,0.0401564,0.0400229,0.0399308,-1.73799e-06,1.47001e-06,2.74408e-07,-0,-0,-0,0,0,0,0.999988,1.05522e-05,9.48075e-07,
1.5,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84201e+07,-5.56383e+07,143.725,887.073,356.6,0.999983,1.80923e-05,-1.11022e-06,0.681634,5.39884e-06,2.04512e-06,0.731693,-9.55814e-07,1.54179e-06,-5.85666e-07,0.0999983,0.0499983,-2105466.045016445,-5367301.930771691,3589532.599904181,4204.456724,-4627.308454,-4436.109219,4204.431498,-4752.355784,4301.903667,-2.282131657e-06,2.592056432e-06,2.631218748e-06,0.559695,5.72398,419444,7951.12,31595.2,6641.63,7951.36,11915.5,-30006.4,4.71293e-06,1,2.67182e-12,2.10595e+06,-2.62548e+06,-5.89894e+06,-4152.71,-5.89367e+06,2.62165e+06,2.61767e+10,-7.93114e+10,1.21083e+11,-90093.5,1.21081e+11,7.93103e+10,4.00789e+08,-6.39834e+07,2.25085e+07,-3734.24,2.25166e+07,6.398e+07,2.64872e-23,1.32436e-23,0,2.6988e-08,-1.34878e-08,-1.35002e-08,-3.16783e-07,1.03324e-06,-1.66556e-06,6.92699e-07,3.79897e-08,-7.30689e-07,-3.16329e-05,4.1436e-05,-2.7834e-05,0.039974,0.0399664,0.0399692,-1.6755e-06,1.51729e-06,1.58523e-07,-0,-0,-0,0,0,0,0.999988,1.05522e-05,9.48075e-07,
1.6,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.66,2156.95,3.98683e+08,-3.84199e+07,-5.56383e+07,143.724,887.073,356.6,0.999982,1.96336e-05,-1.7777e-06,0.717351,6.23307e-06,2.36321e-06,0.696712,-8.76756e-07,1.54132e-06,-6.6748e-07,0.0999982,0.0499982,-2105045.672347529,-5367764.532691001,3589089.058669466,4204.724389,-4626.626017,-4436.566875,4204.691271,-4299.624726,4754.187593,-2.29273806e-06,2.650989284e-06,2.54467457e-06,0.559618,5.72407,419444,7994.04,31693.6,6661.65,7994.33,8887.31,-31142.8,4.71293e-06,1,2.67184e-12,2.10554e+06,-3.20079e+06,-5.60779e+06,-4155.17,-5.60293e+06,3.19645e+06,2.61765e+10,-6.68273e+10,1.28396e+11,-60294.7,1.28394e+11,6.68262e+10,4.00788e+08,-6.14161e+07,2.87837e+07,-3734.62,2.87914e+07,6.14117e+07,2.64872e-23,0,6.62179e-24,2.5924e-08,-1.44156e-08,-1.15084e-08,-3.10589e-07,8.40255e-07,-1.75215e-06,7.00701e-07,-9.61006e-09,-6.91091e-07,-3.17875e-05,3.73216e-05,-3.27485e-05,0.0399881,0.0400618,0.0400286,-1.60338e-06,1.56534e-06,3.51192e-08,-0,-0,-0,0,0,0,0.999988,1.05522e-05,9.48075e-07,
1.7,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.66,2156.95,3.98683e+08,-3.84199e+07,-5.56382e+07,143.724,887.073,356.6,0.999981,2.11579e-05,-2.52048e-06,0.751275,7.1304e-06,2.70581e-06,0.659989,-7.81148e-07,1.52431e-06,-7.42775e-07,0.0999981,0.0499981,-2104625.103736818,-5368227.252497824,3588645.293162966,4204.992109,-4625.943247,-4437.024658,4204.949747,-3804.067743,5159.066157,-2.292317017e-06,2.725314038e-06,2.464249379e-06,0.55954,5.72416,419443,7955.58,31671.3,6681,7955.93,5753.87,-31852.7,4.71293e-06,1,2.67187e-12,2.10513e+06,-3.74421e+06,-5.2607e+06,-4159.26,-5.2563e+06,3.73939e+06,2.61763e+10,-5.36754e+10,1.34426e+11,-15508.5,1.34424e+11,5.36745e+10,4.00788e+08,-5.82352e+07,3.47714e+07,-3739.06,3.47784e+07,5.82298e+07,0,0,0,2.44987e-08,-1.50271e-08,-9.4716e-09,-3.02058e-07,6.45102e-07,-1.80477e-06,7.00666e-07,-5.55054e-08,-6.45161e-07,-3.17901e-05,3.2726e-05,-3.73406e-05,0.0400738,0.0400609,0.0400191,-1.50631e-06,1.59485e-06,-8.81425e-08,-0,-0,-0,0,0,0,0.999988,1.05522e-05,9.48075e-07,
1.8,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.66,2156.95,3.98683e+08,-3.84198e+07,-5.56382e+07,143.724,887.073,356.6,0.999981,2.26504e-05,-3.3414e-06,0.783321,8.08905e-06,3.07251e-06,0.621617,-6.71044e-07,1.49248e-06,-8.20925e-07,0.0999981,0.0499981,-2104204.677548976,-5368689.717915128,3588201.66041221,4205.259667,-4625.260692,-4437.482201,4205.20665,-3270.625472,5512.507567,-2.280873472e-06,2.80499093e-06,2.400220101e-06,0.559463,5.72425,419443,7990.85,31547.6,6636.19,7991.27,2516.71,-32139.6,4.71293e-06,1,2.6719e-12,2.10472e+06,-4.25031e+06,-4.86115e+06,-4165.12,-4.85724e+06,4.24507e+06,2.6176e+10,-3.99873e+10,1.39113e+11,46031.9,1.39111e+11,3.99866e+10,4.00787e+08,-5.44725e+07,4.04116e+07,-3747.59,4.04178e+07,5.44661e+07,0,0,-1.32436e-23,2.27636e-08,-1.5305e-08,-7.45865e-09,-2.91277e-07,4.54588e-07,-1.82178e-06,6.92595e-07,-9.80975e-08,-5.94497e-07,-3.16406e-05,2.78092e-05,-4.14503e-05,0.0400184,0.0400041,0.0400079,-1.3864e-06,1.60589e-06,-2.18969e-07,-0,-0,-0,0,0,0,0.999988,1.05522e-05,9.48075e-07,
